NAME,PRICE,DATE
"
                                                       โค้ก น้ำอัดลม รส ออริจินัล สูตรน้ำตาลน้อยกว่า 1 ลิตร 12 ขวด/Coke Soft Drink Original Less Sugar 1L Pack 12
                        ", 252,11/6/2021
"
                                                       โค้ก น้ำอัดลม รส ออริจินัล สูตรน้ำตาลน้อยกว่า 1 ลิตร 12 ขวด/Coke Soft Drink Original Less Sugar 1L Pack 12
                        ", 240,11/13/2021
