NAME,PRICE,DATE
กาชงกาแฟ อลูมิเนียม ขนาด 100 มล. 150 มล. 300 มล. ถ้วยอิตาลี  มอคค่าพอท กาต้มกาแฟสดแบบพกพา หม้อต้มกาแฟแรงดัน เครื่องทำกาแฟสด,88.00,10/9/2021
กาชงกาแฟ อลูมิเนียม ขนาด 100 มล. 150 มล. 300 มล. ถ้วยอิตาลี  มอคค่าพอท กาต้มกาแฟสดแบบพกพา หม้อต้มกาแฟแรงดัน เครื่องทำกาแฟสด,83.00,10/10/2021
กาชงกาแฟ อลูมิเนียม ขนาด 100 มล. 150 มล. 300 มล. ถ้วยอิตาลี  มอคค่าพอท กาต้มกาแฟสดแบบพกพา หม้อต้มกาแฟแรงดัน เครื่องทำกาแฟสด,88.00,10/11/2021
