NAME,PRICE,DATE
"
                                                       สก๊อตต์ คลีนแคร์ กระดาษชำระหนา 3 ชั้น แพค 30 ม้วน
                        ", 289,10/24/2021
"
                                                       สก๊อตต์ คลีนแคร์ กระดาษชำระหนา 3 ชั้น แพค 30 ม้วน
                        ", 279,10/30/2021
